order_item_id	order_item_name	order_item_type	order_id
6599	Car Charger for Amazon Echo 3 Gen Echo Plus (2nd gen) Echo Show 8, Echo Show (2nd Gen) R9P2A5 3rd gen / L4S3RE 4th gen Echo Show 10 (3rd gen) Echo Show 8 Echo Show 15	line_item	773605
6600	Speed post	shipping	773605
6760	Wireless Bluetooth Headset Mini Small Running Sports Headset Popular,	line_item	774198
6762	Speed post	shipping	774198
6763	COD Fee	fee	774198
6769	Mini 800LM COB LED Flashlight Work Light USB Rechargeable Torch Keychain Lamp	line_item	774209
6770	COD Fee	fee	774209
6771	Speed post	shipping	774209
6835	SP107E/SP108E/SP511E/SP601E WS2812b WS2811 SK6812 IC led Pixel Strip Controller	line_item	774223
6836	Courier	shipping	774223
6847	Extra Strength Yellow Peeling Oil Lightening Exfoliating Dark Skin for Body Face	line_item	774259
6849	Speed post	shipping	774259
6933	COD Fee	fee	774259
6855	Blue Lotus Flowers Nymphaea Caerulea 100% Dried Organic Flowers Hand-picked 10g	line_item	774262
6856	COD Fee	fee	774262
6857	Courier	shipping	774262
6862	Scar Removal Cream Repairing Burn Scratch Pimples Scars For All Skin	line_item	774264
6863	COD Fee	fee	774264
6864	Speed post	shipping	774264
6999	USB Power Cable for Amazon Echo Dot (3rd & 4th Gen Only), Echo Dot with Clock, Echo Dot Kids Edition, Echo Show 5, Echo Spot, Fire TV Cube	line_item	774344
7001	Speed post	shipping	774344
7002	Processing fee	fee	774344
7123	Cooked Pu-erh Tea Loose Leaf Ripened Tea Yunnan Black Puer Tea China Bulk Health	line_item	775356
7124	COD Fee	fee	775356
7125	Courier	shipping	775356
7150	Original DJI Mavic Mini Mini2 Body Shell Middle Frame Bottom Upper Battery Cover	line_item	775403
7151	Bluedart/DTDC Express	shipping	775403
7164	LM1875T mono boom level power 20W amplifier board speaker power amplifier PCB production DIY kit LM1875	line_item	775567
7165	Courier	shipping	775567
7166	50mm Titanium Diaphragm Headphone Speaker Driver For Logitech G Pro X Headset	line_item	775568
7167	Speed post	shipping	775568
7168	Bluetooth 5.2 Headset Wireless Earbuds Earphones Stereo Single Open ear Earbuds	line_item	775569
7169	Speed post	shipping	775569
7172	USB Boost Converter for Amazon Echo Dot (3rd & 4th Gen Only), Echo Dot with Clock, Echo Dot Kids Edition, Echo Show 5, Echo Spot, Fire TV Cube	line_item	775570
7173	Speed post	shipping	775570
7174	False Teeth Upper & Lower Dental Veneers Dentures Tooth Covers set Snap On + box	line_item	775571
7175	Speed post	shipping	775571
7176	1pc Multifunctional Car Steering Wheel Organizer, Auto Steering Wheel Desk, Lapt	line_item	775573
7178	Courier	shipping	775573
7181	COD Fee	fee	775573
7179	Arthritis Compression Gloves For Rheumatoid Osteoarthritis Raynaud's Pain Relief	line_item	775591
7180	Speed post	shipping	775591
7192	BORUiT V10 LED Keychain EDC Flashlight Type-C Rechargeable V3 Torch Work Light	line_item	778381
7193	Processing fee	fee	778381
7194	Bluedart/DTDC Express	shipping	778381
7198	Laptop LCD Bezel Screen Display Cover For Macbooks A1706 A1708 A1989 A2159	line_item	778383
7200	Speed post	shipping	778383
7201	freeshipping	coupon	778383
7203	Processing fee	fee	778383
7208	18V / 21V Li-ion Battery Quick Charger Charge for Makita BL1850 Power Tools US	line_item	778409
7209	Speed post	shipping	778409
7210	Integrated Circuit IC Tester Meter Maintenance Tester for w/LCD Digital Display	line_item	778410
7211	Speed post	shipping	778410
7212	Tattoo Removal Cream Natural Safe Bleaching Corrector Pigment Cleaning Liquid#33	line_item	778433
7213	Extra fee for COD	fee	778433
7214	Amount to Pay at the time of delivery	fee	778433
7215	Bluedart/DTDC Express	shipping	778433
7220	Microphone Cables 8 Pin Extension Cord for KMC-30  TK-863 TK-863G TK-868	line_item	778685
7221	Extra fee for COD	fee	778685
7222	Amount to Pay at the time of delivery	fee	778685
7223	Bluedart/DTDC Express	shipping	778685
7224	Womens Full Wig Brazilian Remy Human Hair Body Wave Lace Front Human Hair Wigs	line_item	778780
7225	13X3 Lace Frontal Wig 28In Long Straight Hair Heat Resistant Fiber Synthetic Wig	line_item	778780
7226	Speed post	shipping	778780
7227	13X3 Lace Frontal Wig 28In Long Straight Hair Heat Resistant Fiber Synthetic Wig	line_item	778786
7228	Speed post	shipping	778786
7229	Reliable Aluminum Heat Block for CR6SE 3D Printer Extruder Upgraded Part	line_item	779559
7230	Speed post	shipping	779559
7239	For Thinkpad P52 X395 L850-GL T480 X280 X395 Internal WWAN LTE 4G Antenna	line_item	779585
7240	Courier	shipping	779585
7252	Natural Hair Growth Oil -Veganic Organic Natural Hair Growth	line_item	779591
7253	Extra fee for COD	fee	779591
7254	Amount to Pay at the time of delivery	fee	779591
7255	Speed post	shipping	779591
7274	BORUiT V10 LED Keychain EDC Flashlight Type-C Rechargeable V3 Torch Work Light	line_item	779624
