ID	post_author	post_date	post_date_gmt	post_content	post_title	post_excerpt	post_status	comment_status	ping_status	post_password	post_name	to_ping	pinged	post_modified	post_modified_gmt	post_content_filtered	post_parent	guid	menu_order	post_type	post_mime_type	comment_count
3002	1	2020-11-29 14:43:23	2020-11-29 09:13:23		Order &ndash; November 29, 2020 @ 02:43 PM		wc-delivered	closed	closed	wc_order_bSrCYdg4epXlE	order-nov-29-2020-0913-am			2023-10-22 12:15:35	2023-10-22 06:45:35		0	https://nilgiristores.in/?post_type=shop_order&#038;p=3002	0	shop_order		5
3336	1	2021-03-22 08:22:13	2021-03-22 02:52:13		Order &ndash; March 22, 2021 @ 08:22 AM		wc-delivered	closed	closed	wc_order_LHhakmiu3HJSL	order-mar-22-2021-0252-am			2023-10-22 12:15:35	2023-10-22 06:45:35		0	https://nilgiristores.in/?post_type=shop_order&#038;p=3336	0	shop_order		5
3354	1	2021-04-04 13:10:42	2021-04-04 07:40:42		Order &ndash; April 4, 2021 @ 01:10 PM		wc-delivered	closed	closed	wc_order_GAGkxMy4VOiHg	order-apr-04-2021-0740-am			2023-10-22 12:15:35	2023-10-22 06:45:35		0	https://nilgiristores.in/?post_type=shop_order&#038;p=3354	0	shop_order		5
3356	1	2021-04-05 17:51:40	2021-04-05 12:21:40		Order &ndash; April 5, 2021 @ 05:51 PM		wc-delivered	closed	closed	wc_order_EZeuXP2vzDhPG	order-apr-05-2021-1221-pm			2023-10-22 12:15:35	2023-10-22 06:45:35		0	https://nilgiristores.in/?post_type=shop_order&#038;p=3356	0	shop_order		5
3358	1	2021-04-06 12:37:22	2021-04-06 07:07:22		Order &ndash; April 6, 2021 @ 12:37 PM		wc-delivered	closed	closed	wc_order_saylWw8TKib0l	order-apr-06-2021-0707-am			2023-10-22 12:15:35	2023-10-22 06:45:35		0	https://nilgiristores.in/?post_type=shop_order&#038;p=3358	0	shop_order		5
3881	1	2021-05-18 07:50:53	2021-05-18 02:20:53		Order &ndash; May 18, 2021 @ 07:50 AM		wc-delivered	closed	closed	wc_order_0BuxMXzLsmr5T	order-may-18-2021-0220-am			2023-10-22 12:15:35	2023-10-22 06:45:35		0	https://nilgiristores.in/?post_type=shop_order&#038;p=3881	0	shop_order		5
3986	1	2021-05-21 13:14:46	2021-05-21 07:44:46		Order &ndash; May 21, 2021 @ 01:14 PM		wc-delivered	closed	closed	wc_order_qxdBmnZDYrPAV	order-may-21-2021-0744-am			2023-10-22 12:15:35	2023-10-22 06:45:35		0	https://nilgiristores.in/?post_type=shop_order&#038;p=3986	0	shop_order		8
4038	1	2021-05-23 12:56:59	2021-05-23 07:26:59		Order &ndash; May 23, 2021 @ 12:56 PM		wc-delivered	closed	closed	wc_order_WYvgwuMRug0s5	order-may-23-2021-0726-am			2023-10-22 12:15:35	2023-10-22 06:45:35		0	https://nilgiristores.in/?post_type=shop_order&#038;p=4038	0	shop_order		4
4050	1	2021-05-23 17:26:32	2021-05-23 11:56:32		Order &ndash; May 23, 2021 @ 05:26 PM		wc-delivered	closed	closed	wc_order_HHgKdVQvaPuF8	order-may-23-2021-1156-am			2023-10-22 12:15:35	2023-10-22 06:45:35		0	https://nilgiristores.in/?post_type=shop_order&#038;p=4050	0	shop_order		5
4065	1	2021-05-24 11:32:26	2021-05-24 06:02:26		Order &ndash; May 24, 2021 @ 11:32 AM		wc-delivered	closed	closed	wc_order_RaJLsOiFMcc9k	order-may-24-2021-0602-am			2023-10-22 12:15:35	2023-10-22 06:45:35		0	https://nilgiristores.in/?post_type=shop_order&#038;p=4065	0	shop_order		5
