order_item_id	meta_key	meta_value
106	_line_subtotal	125
106	_line_subtotal_tax	0
106	_line_tax	0
106	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
106	_line_total	125
106	_product_id	1828
106	_qty	1
106	_reduced_stock	1
106	_tax_class	
106	_variation_id	1829
106	size	2 Inch
107	_fee_amount	-10.75
107	_line_tax	0
107	_line_tax_data	a:1:{s:5:"total";a:0:{}}
107	_line_total	-10.75
107	_tax_class	0
107	_tax_status	taxable
108	cost	90.00
108	instance_id	4
108	Items	Curved Needle for Wig making Mattress Upholstery Half curved needle mattress needle leather sewing needle 5 Pcs choose size - 2 Inch &times; 1
108	method_id	flat_rate
108	taxes	a:1:{s:5:"total";a:0:{}}
108	total_tax	0
122	_line_subtotal	100
122	_line_subtotal_tax	0
122	_line_tax	0
122	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
122	_line_total	100
122	_product_id	3248
122	_qty	1
122	_reduced_stock	1
122	_tax_class	
122	_variation_id	0
123	_fee_amount	-8
123	_line_tax	0
123	_line_tax_data	a:1:{s:5:"total";a:0:{}}
123	_line_total	-8
123	_tax_class	0
123	_tax_status	taxable
124	cost	60.00
124	instance_id	4
124	Items	Large-Eye Plastic Sewing Needles Colorful Safety Lacing Needles 2 Different Sizes Yarn Sewing Needle, Learning Needles for DIY Sewing Handmade Crafts 3.5 &amp;2.76 inch (20 Pieces) &times; 1
124	method_id	flat_rate
124	taxes	a:1:{s:5:"total";a:0:{}}
124	total_tax	0
145	_line_subtotal	100
145	_line_subtotal_tax	0
145	_line_tax	0
145	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
145	_line_total	100
145	_product_id	1757
145	_qty	1
145	_reduced_stock	1
145	_tax_class	
145	_variation_id	1827
145	length	Mixed
146	_fee_amount	-8
146	_line_tax	0
146	_line_tax_data	a:1:{s:5:"total";a:0:{}}
146	_line_total	-8
146	_tax_class	0
146	_tax_status	taxable
147	cost	60.00
147	instance_id	4
147	Items	Plastic Needle Large Eye Various Sizes 5 Nos for Wool Sewing Embroidery Tapestry Cross Darning Stitchery Craft Choose length - Mixed &times; 1
147	method_id	flat_rate
147	taxes	a:1:{s:5:"total";a:0:{}}
147	total_tax	0
152	_line_subtotal	1000
152	_line_subtotal_tax	0
152	_line_tax	0
152	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
152	_line_total	1000
152	_product_id	3248
152	_qty	10
152	_reduced_stock	10
152	_tax_class	
152	_variation_id	0
153	_fee_amount	-62
153	_line_tax	0
153	_line_tax_data	a:1:{s:5:"total";a:0:{}}
153	_line_total	-62
153	_tax_class	0
153	_tax_status	taxable
154	cost	240.00
154	instance_id	4
154	Items	Large-Eye Plastic Sewing Needles Colorful Safety Lacing Needles 2 Different Sizes Yarn Sewing Needle, Learning Needles for DIY Sewing Handmade Crafts 3.5 &amp;2.76 inch (20 Pieces) &times; 10
154	method_id	flat_rate
154	taxes	a:1:{s:5:"total";a:0:{}}
154	total_tax	0
155	_line_subtotal	100
155	_line_subtotal_tax	0
155	_line_tax	0
155	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
155	_line_total	100
155	_product_id	1784
155	_qty	1
155	_reduced_stock	1
155	_tax_class	
155	_variation_id	0
156	_fee_amount	-8
156	_line_tax	0
156	_line_tax_data	a:1:{s:5:"total";a:0:{}}
156	_line_total	-8
156	_tax_class	0
156	_tax_status	taxable
157	cost	60.00
157	instance_id	4
157	Items	Stitch Markers Locking type 25 Nos Mixed Color Plastic for Hand Knitting Wool Sewing Embroidery Tapestry Cross Darning Stitchery Craft &times; 1
157	method_id	flat_rate
157	taxes	a:1:{s:5:"total";a:0:{}}
157	total_tax	0
179	_line_subtotal	295
179	_line_subtotal_tax	0
179	_line_tax	0
179	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
179	_line_total	295
179	_product_id	3130
179	_qty	1
179	_reduced_stock	1
179	_tax_class	
179	_variation_id	0
180	_fee_amount	-17.75
180	_last_added_fee	Discount for Direct Payment 5%
180	_line_tax	0
180	_line_tax_data	a:1:{s:5:"total";a:0:{}}
180	_line_total	-17.75
180	_tax_class	0
180	_tax_status	taxable
181	cost	60.00
181	instance_id	4
181	Items	USB 5V to 12V Step Up Converter Cable, Power Supply USB Cable with DC Jack 5.5 x 2.1mm for Modem CCTV DVR etc &times; 1
181	method_id	flat_rate
181	taxes	a:1:{s:5:"total";a:0:{}}
181	total_tax	0
194	_line_subtotal	100
194	_line_subtotal_tax	0
194	_line_tax	0
194	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
194	_line_total	100
194	_product_id	1784
194	_qty	1
194	_reduced_stock	1
194	_tax_class	
194	_variation_id	0
195	_fee_amount	80
195	_last_added_fee	COD Handling fee
195	_line_tax	0
195	_line_tax_data	a:1:{s:5:"total";a:0:{}}
195	_line_total	80
195	_tax_class	0
195	_tax_status	taxable
196	cost	90.00
196	instance_id	4
